date,bat,level
2021-Apr-22 19:40,4.0464763972,1881
2021-Apr-22 21:12,4.0464763972,1855
2021-Apr-22 22:44,4.0396988116,1846
2021-Apr-22 23:15,4.0396988116,1863
2021-Apr-22 23:45,4.0396988116,1837
2021-Apr-23 00:47,4.0396988116,1855
2021-Apr-23 01:17,4.0396988116,1855
2021-Apr-23 02:49,4.0396988116,1880
2021-Apr-23 03:20,4.0396988116,1854
2021-Apr-23 03:20,4.0396988116,1854
2021-Apr-23 03:51,4.0396988116,1872
2021-Apr-23 04:21,4.032921226000001,1854
2021-Apr-23 04:52,4.0396988116,1889
2021-Apr-23 05:53,4.032921226000001,1974
2021-Apr-23 06:24,4.032921226000001,1974
2021-Apr-23 07:25,4.032921226000001,1975
2021-Apr-23 07:56,4.032921226000001,1826
2021-Apr-23 09:59,4.032921226000001,1801
2021-Apr-23 10:29,4.032921226000001,1864
2021-Apr-23 12:01,4.032921226000001,1864
2021-Apr-23 13:33,4.026143640400001,1864
2021-Apr-23 15:05,4.026143640400001,1864
2021-Apr-23 16:37,4.026143640400001,1881
2021-Apr-23 17:38,4.026143640400001,1847
2021-Apr-23 18:09,4.026143640400001,1956
2021-Apr-23 18:40,4.026143640400001,1966
2021-Apr-23 18:40,4.026143640400001,1966
2021-Apr-23 20:11,4.019366054800001,1964
2021-Apr-23 20:42,4.019366054800001,1946
2021-Apr-23 21:13,4.019366054800001,1966
2021-Apr-23 22:14,4.019366054800001,1964
2021-Apr-23 22:45,4.012588469200001,1970
2021-Apr-23 23:15,4.019366054800001,1968
2021-Apr-24 01:18,4.019366054800001,1967
2021-Apr-24 01:49,4.012588469200001,1965
2021-Apr-24 02:19,4.012588469200001,1967
2021-Apr-24 02:50,4.005810883600001,1970
2021-Apr-24 03:51,4.005810883600001,1974
2021-Apr-24 08:58,3.999033298,1963
2021-Apr-24 09:28,3.999033298,1969
2021-Apr-24 11:00,4.005810883600001,1966
