date,hour,bat,soil
Sun Apr 11 2021,04:07,4.2836918932,12.634583601675692
Sun Apr 11 2021,04:07,4.2836918932,12.634583601675692
Sun Apr 11 2021,09:45,4.480241875600001,12.314044546722066
Sun Apr 11 2021,11:47,4.487019461200001,11.982016029117712
Sun Apr 11 2021,13:19,4.466686704400001,11.771464331873272
Sun Apr 11 2021,13:19,4.466686704400001,11.771464331873272
Sun Apr 11 2021,14:21,4.4463539476000005,11.81397403705736
Sun Apr 11 2021,16:23,4.4327987764,12.023540049831048
Sun Apr 11 2021,16:54,4.412466019600001,12.06487438753712
Sun Apr 11 2021,19:58,4.3446901636,12.354093147280357
Sun Apr 11 2021,19:58,4.3446901636,12.354093147280357
Sun Apr 11 2021,22:01,4.324357406800001,12.354093147280357
Sun Apr 11 2021,22:01,4.324357406800001,12.354093147280357
Sun Apr 11 2021,23:02,4.324357406800001,12.354093147280357
Sun Apr 11 2021,23:33,4.317579821200001,12.393969977919877
Mon Apr 12 2021,06:42,4.2769143076,12.314044546722066
Mon Apr 12 2021,06:42,4.2769143076,12.314044546722066
Mon Apr 12 2021,08:14,4.324357406800001,12.268781995638504
Mon Apr 12 2021,09:15,4.3582453348,12.187762725562463
Mon Apr 12 2021,10:47,4.5005746324,11.856281459268354
Mon Apr 12 2021,10:47,4.5005746324,11.856281459268354
Mon Apr 12 2021,12:19,4.4192436052,11.728749658987837
Mon Apr 12 2021,13:52,4.4327987764,11.561242754654478
Mon Apr 12 2021,19:29,4.317579821200001,12.187762725562463
Mon Apr 12 2021,21:01,4.304024650000001,12.354093147280357
Tue Apr 13 2021,00:05,4.2836918932,12.634583601675692
Tue Apr 13 2021,03:09,4.270136722,12.916455952902297
Tue Apr 13 2021,04:41,4.263359136400001,12.954050405514481
Tue Apr 13 2021,05:42,4.256581550800001,13.033460993723429
Tue Apr 13 2021,07:14,4.249803965200001,13.15368366946069
Tue Apr 13 2021,08:46,4.4327987764,12.873987646914935
Tue Apr 13 2021,10:18,4.4531315332000005,12.354093147280357
Tue Apr 13 2021,11:50,4.439576362,12.06487438753712
Tue Apr 13 2021,12:21,4.466686704400001,12.023540049831048
Tue Apr 13 2021,12:52,4.459909118800001,11.940299909957075
Tue Apr 13 2021,15:25,4.412466019600001,11.771464331873272
Tue Apr 13 2021,17:28,4.3446901636,11.898389226154734
Tue Apr 13 2021,20:32,4.2972470644000005,11.940299909957075
Tue Apr 13 2021,23:36,4.270136722,11.898389226154734
Wed Apr 14 2021,01:08,4.256581550800001,11.898389226154734
Wed Apr 14 2021,01:38,4.249803965200001,11.898389226154734
